seed,tau,alpha
75,1.0,4.484934795197738
76,0.0,1.810349916474907
76,0.05,1.8002051492950184
76,0.1,1.8299642709946875
76,0.2,1.9871790894103984
76,0.3,2.390272587461194
76,0.5,3.1422581361485675
76,0.8,3.9378234649026806
76,1.0,3.76356453527283
77,0.0,1.8935558184349757
77,0.05,1.9086829455795895
77,0.1,1.866375205951857
77,0.2,2.149540167515156
77,0.3,2.717065810801438
77,0.5,3.182760886079901
77,0.8,3.9647166084112118
77,1.0,4.205018574839443
78,0.0,1.8085181634209198
78,0.05,1.8691092421854092
78,0.1,1.7644430273338412
78,0.2,2.1014656602916997
78,0.3,2.384840615625876
78,0.5,3.349158566419311
78,0.8,3.7909633279060317
78,1.0,3.8598931604630726
79,0.0,1.840551033015667
79,0.05,1.8505420874358334
79,0.1,1.8077457760940356
79,0.2,2.2081914923968338
79,0.3,2.6173316533868984
79,0.5,3.3082371093617495
79,0.8,3.8006900122505733
79,1.0,4.087202616374767
80,0.0,1.8024185552430796
80,0.05,1.8272206211493311
80,0.1,1.8058396810846722
80,0.2,2.181687555363934
80,0.3,2.6513601056143004
80,0.5,3.2793763200945345
80,0.8,4.312289092699166
80,1.0,4.480197688862704
81,0.0,1.842698924623989
81,0.05,1.8543371473443593
81,0.1,1.8663789532703214
81,0.2,2.19489338044616
81,0.3,2.614869175803454
81,0.5,3.4822712797303157
81,0.8,3.671290915072915
81,1.0,4.030737255971128
82,0.0,1.9153561585067194
82,0.05,1.9246000422595273
82,0.1,1.9352641138612154
82,0.2,2.1972907079632176
82,0.3,2.6693207256190927
82,0.5,3.4491512626682628
82,0.8,3.9782222355329306
82,1.0,4.361670547446304
83,0.0,1.9110315646878604
83,0.05,1.8308787592133164
83,0.1,1.8745155328438525
83,0.2,2.005451247618263
83,0.3,2.6068530613167322
83,0.5,3.1694670302488377
83,0.8,3.7360068237301114
83,1.0,4.039567746946485
84,0.0,1.8059940694317715
84,0.05,1.8989339720446463
84,0.1,1.94116171692649
84,0.2,2.2625032641665452
84,0.3,2.854965507419817
84,0.5,3.23889928973756
84,0.8,4.214572739176336
84,1.0,4.109346442404669
85,0.0,1.871330054793071
85,0.05,1.784272293546496
85,0.1,1.868823927759067
85,0.2,2.1378818044546515
85,0.3,2.514009067586207
85,0.5,3.2941291883617874
85,0.8,4.012116383928488
85,1.0,4.173301982522126
86,0.0,1.7603566259443173
86,0.05,1.9165030910055627
86,0.1,1.8157227881254534
86,0.2,2.193992777018638
86,0.3,2.7080631269069184
86,0.5,3.1637390636686287
86,0.8,3.6129827706244275
86,1.0,4.145686292806593
87,0.0,1.8059392361997173
87,0.05,1.9767090274077583
87,0.1,1.8669205907539657
87,0.2,2.1810849384911637
87,0.3,2.5750612787340423
87,0.5,3.1749027507435876
87,0.8,3.9793803360013933
87,1.0,4.150188869316909
88,0.0,1.8259911094331371
88,0.05,1.8965179139852237
88,0.1,1.8938226778838716
88,0.2,2.1683870805971046
88,0.3,2.530338145511312
88,0.5,3.516464258189155
88,0.8,4.1259215370226725
88,1.0,3.8992066940621752
89,0.0,1.95865316113545
89,0.05,1.9600167148550032
89,0.1,1.9040251665537276
89,0.2,2.1398403568828828
89,0.3,2.7506099731177436
89,0.5,3.566299208230883
89,0.8,4.031068218460762
89,1.0,4.3742581456153715
90,0.0,1.978060182615526
90,0.05,1.923975721624765
90,0.1,1.909695306029009
90,0.2,2.267878866152999
90,0.3,2.751902639472615
90,0.5,3.41092297995461
90,0.8,4.391228610892658
90,1.0,4.229395960164605
91,0.0,1.8768645881717954
91,0.05,1.9101821405741106
91,0.1,1.8180990407373456
91,0.2,2.269632487662831
91,0.3,2.634975507193924
91,0.5,3.294216169093193
91,0.8,4.17675210673979
91,1.0,4.248010632253617
92,0.0,1.8963022134503043
92,0.05,1.9520036903887448
92,0.1,1.9368445772022762
92,0.2,2.1435990700828427
92,0.3,2.600416154287413
92,0.5,3.468303534921364
92,0.8,3.785361963209288
92,1.0,4.246664399630198
93,0.0,1.9349063988596857
93,0.05,1.814653862985288
93,0.1,1.9034850007311448
93,0.2,2.1108988786871996
93,0.3,2.6811254621006118
93,0.5,3.2079345626867686
93,0.8,3.9925168656244616
93,1.0,4.0672497649622175
94,0.0,1.8300306901653933
94,0.05,1.8308029733931934
94,0.1,1.8251972733016322
94,0.2,2.032802527018994
94,0.3,2.5961148118526833
94,0.5,3.2750314441420163
94,0.8,3.875607577434095
94,1.0,3.953255233189974
95,0.0,1.8146449172671821
95,0.05,1.9283226593509137
95,0.1,1.892368215608632
95,0.2,2.0486416892731416
95,0.3,2.4473918085284123
95,0.5,3.4071356612925294
95,0.8,4.0858189572142525
95,1.0,4.158666770754302
96,0.0,1.853373430780935
96,0.05,1.8931120598429692
96,0.1,1.8873530674662624
96,0.2,2.185013849930926
96,0.3,2.6236474746355953
96,0.5,3.08443460253924
96,0.8,4.279922673582003
96,1.0,3.9048541912208536
97,0.0,1.852004322465703
97,0.05,1.8363606473148584
97,0.1,1.879911855410915
97,0.2,2.2497018293787714
97,0.3,2.6714498149381702
97,0.5,3.6091780817428405
97,0.8,4.011290174575939
97,1.0,4.742489136732055
98,0.0,1.8955183822426185
98,0.05,1.897580848439068
98,0.1,1.906076333985792
98,0.2,2.147360542106233
