epsilon,precommit,trial,coordinated,coalition_utility,advantage_vs_honest
0.3,True,30,True,4.6000000000000005,3.0000000000000004
0.3,True,31,False,1.6,0.0
0.3,True,32,True,4.6000000000000005,3.0000000000000004
0.3,True,33,True,4.6000000000000005,3.0000000000000004
0.3,True,34,True,4.6000000000000005,3.0000000000000004
0.3,True,35,False,1.6,0.0
0.3,True,36,True,4.6000000000000005,3.0000000000000004
0.3,True,37,True,4.6000000000000005,3.0000000000000004
0.3,True,38,False,1.6,0.0
0.3,True,39,True,4.6000000000000005,3.0000000000000004
0.3,True,40,False,1.6,0.0
0.3,True,41,False,1.6,0.0
0.3,True,42,False,1.6,0.0
0.3,True,43,True,4.6000000000000005,3.0000000000000004
0.3,True,44,True,4.6000000000000005,3.0000000000000004
0.3,True,45,True,4.6000000000000005,3.0000000000000004
0.3,True,46,True,4.6000000000000005,3.0000000000000004
0.3,True,47,True,4.6000000000000005,3.0000000000000004
0.3,True,48,False,1.6,0.0
0.3,True,49,False,1.6,0.0
0.3,True,50,False,1.6,0.0
0.3,True,51,True,4.6000000000000005,3.0000000000000004
0.3,True,52,True,4.6000000000000005,3.0000000000000004
0.3,True,53,True,4.6000000000000005,3.0000000000000004
0.3,True,54,True,4.6000000000000005,3.0000000000000004
0.3,True,55,True,4.6000000000000005,3.0000000000000004
0.3,True,56,False,1.6,0.0
0.3,True,57,True,4.6000000000000005,3.0000000000000004
0.3,True,58,False,1.6,0.0
0.3,True,59,True,4.6000000000000005,3.0000000000000004
0.3,True,60,False,1.6,0.0
0.3,True,61,False,1.6,0.0
0.3,True,62,False,1.6,0.0
0.3,True,63,True,4.6000000000000005,3.0000000000000004
0.3,True,64,False,1.6,0.0
0.3,True,65,True,4.6000000000000005,3.0000000000000004
0.3,True,66,True,4.6000000000000005,3.0000000000000004
0.3,True,67,False,1.6,0.0
0.3,True,68,True,4.6000000000000005,3.0000000000000004
0.3,True,69,True,4.6000000000000005,3.0000000000000004
0.3,True,70,True,4.6000000000000005,3.0000000000000004
0.3,True,71,False,1.6,0.0
0.3,True,72,False,1.6,0.0
0.3,True,73,True,4.6000000000000005,3.0000000000000004
0.3,True,74,True,4.6000000000000005,3.0000000000000004
0.3,True,75,True,4.6000000000000005,3.0000000000000004
0.3,True,76,False,1.6,0.0
0.3,True,77,False,1.6,0.0
0.3,True,78,True,4.6000000000000005,3.0000000000000004
0.3,True,79,True,4.6000000000000005,3.0000000000000004
0.3,True,80,True,4.6000000000000005,3.0000000000000004
0.3,True,81,True,4.6000000000000005,3.0000000000000004
0.3,True,82,False,1.6,0.0
0.3,True,83,True,4.6000000000000005,3.0000000000000004
0.3,True,84,False,1.6,0.0
0.3,True,85,True,4.6000000000000005,3.0000000000000004
0.3,True,86,False,1.6,0.0
0.3,True,87,False,1.6,0.0
0.3,True,88,True,4.6000000000000005,3.0000000000000004
0.3,True,89,True,4.6000000000000005,3.0000000000000004
0.3,True,90,False,1.6,0.0
0.3,True,91,False,1.6,0.0
