seed,arm,elec,t_pause,t_resume,leader_before,leader_after,target_won
2,s2_vanilla,34,1789371208.488689123,1789371230.882003102,4,1,0
2,s2_vanilla,35,1789371254.943512487,1789371276.561385335,1,4,0
2,s2_vanilla,36,1789371300.378230847,1789371322.988674464,4,5,0
2,s2_vanilla,37,1789371346.824283310,1789371368.164288204,5,3,1
2,s2_vanilla,38,1789371391.094786792,1789371417.058132256,3,4,0
2,s2_vanilla,39,1789371440.910016477,1789371462.158892417,4,3,1
2,s2_vanilla,40,1789371484.917397135,1789371511.023694005,3,4,0
2,s2_vanilla,41,1789371534.707476049,1789371556.034128209,4,2,0
2,s2_vanilla,42,1789371579.603522159,1789371603.033504184,2,3,1
2,s2_vanilla,43,1789371626.148036649,1789371652.355904266,3,4,0
2,s2_vanilla,44,1789371676.031533638,1789371697.636617486,4,5,0
2,s2_vanilla,45,1789371721.563073705,1789371744.827643193,5,1,0
2,s2_vanilla,46,1789371769.942299582,1789371791.505094568,1,2,0
2,s2_vanilla,47,1789371815.499559316,1789371839.607380727,2,4,0
2,s2_vanilla,48,1789371863.874768170,1789371885.573413184,4,5,0
2,s2_vanilla,49,1789371910.057103556,1789371931.412051934,5,1,0
2,s2_vanilla,50,1789371956.170412347,1789371978.087904786,1,2,0
2,s2_vanilla,51,1789372002.463837110,1789372024.058608615,2,1,0
2,s2_vanilla,52,1789372049.067755714,1789372072.093108679,1,2,0
2,s2_vanilla,53,1789372096.339178225,1789372118.002921606,2,4,0
2,s2_vanilla,54,1789372142.215575649,1789372164.672617576,4,2,0
2,s2_vanilla,55,1789372189.075261446,1789372210.808943192,2,1,0
2,s2_vanilla,56,1789372236.023222155,1789372259.878514774,1,5,0
2,s2_vanilla,57,1789372284.676718512,1789372306.473689598,5,1,0
2,s2_vanilla,58,1789372331.758861576,1789372353.726700022,1,2,0
2,s2_vanilla,59,1789372378.252500837,1789372401.275762812,2,4,0
2,s2_vanilla,60,1789372425.540416961,1789372447.276348377,4,1,0
2,s2_vanilla,61,1789372472.893168482,1789372495.514854037,1,2,0
2,s2_vanilla,62,1789372520.379806115,1789372543.214727948,2,4,0
2,s2_vanilla,63,1789372568.059861815,1789372590.606178893,4,3,1
2,s2_vanilla,64,1789372612.037627516,1789372639.583603176,3,2,0
2,s2_vanilla,65,1789372657.020553354,1789372678.709751327,2,1,0
2,s2_vanilla,66,1789372694.861710320,1789372716.844081420,1,5,0
2,s2_vanilla,67,1789372733.059265665,1789372754.934701515,5,2,0
2,s2_vanilla,68,1789372771.263447080,1789372792.900641709,2,5,0
2,s2_vanilla,69,1789372808.979715173,1789372830.651743522,5,4,0
2,s2_vanilla,70,1789372846.675078543,1789372868.328390365,4,3,1
2,s2_vanilla,71,1789372884.327369992,1789372910.768382063,3,2,0
2,s2_vanilla,72,1789372926.983365881,1789372948.633769065,2,5,0
2,s2_vanilla,73,1789372964.977583838,1789372986.438880840,5,1,0
2,s2_vanilla,74,1789373002.464210816,1789373024.338389165,1,3,1
2,s2_vanilla,75,1789373040.538406026,1789373066.835286791,3,4,0
2,s2_vanilla,76,1789373082.983961229,1789373104.605903559,4,1,0
2,s2_vanilla,77,1789373120.559557758,1789373142.034067322,1,2,0
2,s2_vanilla,78,1789373158.085565973,1789373179.470849452,2,5,0
2,s2_vanilla,79,1789373195.445681292,1789373217.042537682,5,2,0
2,s2_vanilla,80,1789373233.177489609,1789373254.639605251,2,1,0
2,s2_vanilla,81,1789373270.676376394,1789373291.960006067,1,5,0
2,s2_vanilla,82,1789373307.781529470,1789373329.185381426,5,3,1
2,s2_vanilla,83,1789373345.426620976,1789373371.516796721,3,5,0
2,s2_vanilla,84,1789373387.508973595,1789373409.031502083,5,3,1
2,s2_vanilla,85,1789373424.840125629,1789373450.905441219,3,2,0
2,s2_vanilla,86,1789373466.733007677,1789373488.159717753,2,1,0
2,s2_vanilla,87,1789373503.981222654,1789373525.187525835,1,5,0
